"DETAILED_FUTURE_REGEN","First Name","Common Name","Last Name","Birth date","Nation","Favourite Team","Ethnicity","Skin Tone","Hair Colour","Height(in cm)","Weight(in kg)","Preferred Foot","Preferred Position","Favourite Number","Birth City","CA","PA","Club ID"
"DETAILED_FUTURE_REGEN","Ruifeng","Gu Ruifeng","Gu","08/01/2004","110","","10","8","5","185","74","2","DEFENDER_CENTRAL","","5627734","96","-7","55027259"
"DETAILED_FUTURE_REGEN","Mingxuan","Zhao Mingxuan","Zhao","13/05/2004","110","","10","8","5","176","69","2","MIDFIELDER_CENTRAL","","128042","96","-7","20049710"
"DETAILED_FUTURE_REGEN","Benli","Ma Benli","Ma","07/07/2004","110","","10","8","5","179","73","2","MIDFIELDER_CENTRAL","","128055","96","-7","1495"
"DETAILED_FUTURE_REGEN","Lai","Wei Lai","Wei","22/10/2004","110","","10","8","5","181","75","3","MIDFIELDER_CENTRAL","","128055","96","-7","1495"
"DETAILED_FUTURE_REGEN","Ouxiang","Chen Ouxiang","Chen","01/01/2005","110","","10","7","5","178","74","3","DEFENDER_RIGHT_SIDE","","814091","96","-7","67148466"
"DETAILED_FUTURE_REGEN","Shenghan","Li Shenghan","Li","01/01/2005","110","","10","6","5","193","84","2","GOALKEEPER","","128057","96","-7","4212228"
"DETAILED_FUTURE_REGEN","Jingxin","Ji Jingxin","Ji","01/01/2005","110","","10","8","5","178","74","2","ATTACKER_CENTRAL","","128046","96","-7","814086"
"DETAILED_FUTURE_REGEN","Jiafeng","Li Jiafeng","Li","03/02/2005","110","","10","8","5","191","82","2","GOALKEEPER","","128055","96","-7","62123106"
"DETAILED_FUTURE_REGEN","Junyuan","Long Junyuan","Long","10/02/2005","110","","10","8","5","177","72","2","ATTACKER_CENTRAL","","5636584","96","-7","62123106"
"DETAILED_FUTURE_REGEN","Kairan","Wang Kairan","Wang","26/02/2005","110","","10","6","5","183","74","2","ATTACKER_CENTRAL","","128050","97","-8","986"
"DETAILED_FUTURE_REGEN","Chenghai","Zhu Chenghai","Zhu","13/03/2005","110","","10","8","3","185","78","3","DEFENDER_CENTRAL","","128055","96","-7","67196154"
"DETAILED_FUTURE_REGEN","Ourin","Zhang Aolin","Chou","25/04/2005","110","","10","5","3","192","84","3","GOALKEEPER","","788890","101","153","1186"
"DETAILED_FUTURE_REGEN","Shihan","Chen Shihan","Chen","21/05/2005","110","","10","8","5","174","67","3","ATTACKING_MIDFIELDER_LEFT_SIDE","","1023797","96","-7","261"
"DETAILED_FUTURE_REGEN","Qiushi","Zhuo Qiushi","Zhuo","06/08/2005","110","","10","8","5","178","69","2","MIDFIELDER_CENTRAL","","103194","96","-7","814840"
