"DETAILED_FUTURE_REGEN","First Name","Common Name","Last Name","Birth date","Nation","Favourite Team","Ethnicity","Skin Tone","Hair Colour","Height(in cm)","Weight(in kg)","Preferred Foot","Preferred Position","Favourite Number","Birth City","CA","PA","Club ID"
"DETAILED_FUTURE_REGEN","José Ignacio","Nacho","Fernández Iglesias","18/01/2020","796","","1","6","2","180","77","2","DEFENDER_CENTRAL","","341","102","164","1736"
"DETAILED_FUTURE_REGEN","José Juan","","Macías","23/09/2019","379","","7","11","5","177","73","2","ATTACKING_MIDFIELDER_LEFT_SIDE","","Guadalajara","102","165","1255"
"DETAILED_FUTURE_REGEN","José Julián","José Julián De la Cuesta","de la Cuesta Herrera","10/02/2013","1653","","3","13","3","183","79","2","DEFENDER_CENTRAL","","303782","102","169","427"
"DETAILED_FUTURE_REGEN","José Kléberson","Kléberson","Pereira","19/06/2019","1651","","9","14","5","175","64","2","MIDFIELDER_CENTRAL","","320412","102","168","107206"
"DETAILED_FUTURE_REGEN","José Leandro","","Andrade","01/10/2011","1657","","3","12","5","181","78","2","MIDFIELDER_CENTRAL","","102998","104","183","1923"
"DETAILED_FUTURE_REGEN","José Luis","","Cuciuffo","01/02/2011","1649","","1","5","2","176","72","3","DEFENDER_LEFT_SIDE","","102432","102","165","98"
"DETAILED_FUTURE_REGEN","José Luis","","Villarreal","17/03/2016","1649","","1","6","5","184","78","4","DEFENDER_CENTRAL","","102432","102","165","81"
"DETAILED_FUTURE_REGEN","José Luis","","Brown","11/11/2016","1649","","1","11","5","185","77","4","DEFENDER_CENTRAL","","965291","102","166","85"
"DETAILED_FUTURE_REGEN","José Luis","","Caminero","08/11/2017","796","","1","7","3","187","85","2","ATTACKING_MIDFIELDER_RIGHT_SIDE","","341","103","175","1687"
"DETAILED_FUTURE_REGEN","José Luis","","Chilavert","27/07/2015","1655","","1","11","5","192","90","3","GOALKEEPER","","5280179","104","185","106072"
"DETAILED_FUTURE_REGEN","José Manuel","","Pinto","08/11/2015","796","","1","7","5","183","84","2","GOALKEEPER","","7444908","102","165","1733"
"DETAILED_FUTURE_REGEN","José Manuel","Pepe Reina","Reina","31/08/2012","796","","1","5","3","188","92","4","GOALKEEPER","","341","103","179","1708"
"DETAILED_FUTURE_REGEN","José Manuel","","Moreno","03/08/2016","1649","","1","6","5","177","80","4","ATTACKING_MIDFIELDER_CENTRAL","","102431","104","187","94"
