"DETAILED_FUTURE_REGEN","First Name","Common Name","Last Name","Birth date","Nation","Favourite Team","Ethnicity","Skin Tone","Hair Colour","Height(in cm)","Weight(in kg)","Preferred Foot","Preferred Position","Favourite Number","Birth City","CA","PA","Club ID"
"DETAILED_FUTURE_REGEN","Mingxuan","Zhao Mingxuan","Zhao","13/05/2004","110","","10","8","5","176","69","2","MIDFIELDER_CENTRAL","","128042","96","-7","20049710"
"DETAILED_FUTURE_REGEN","Benli","Ma Benli","Ma","07/07/2004","110","","10","8","5","179","73","2","MIDFIELDER_CENTRAL","","128055","96","-7","1495"
"DETAILED_FUTURE_REGEN","Lai","Wei Lai","Wei","22/10/2004","110","","10","8","5","181","75","3","MIDFIELDER_CENTRAL","","128055","96","-7","1495"
"DETAILED_FUTURE_REGEN","Junyuan","Long Junyuan","Long","10/02/2005","110","","10","8","5","177","72","2","ATTACKER_CENTRAL","","5636584","96","-7","62123106"
"DETAILED_FUTURE_REGEN","Kairan","Wang Kairan","Wang","26/02/2005","110","","10","6","5","183","74","2","ATTACKER_CENTRAL","","128050","97","-8","986"
"DETAILED_FUTURE_REGEN","Chenghai","Zhu Chenghai","Zhu","13/03/2005","110","","10","8","3","185","78","3","DEFENDER_CENTRAL","","128055","96","-7","67196154"
"DETAILED_FUTURE_REGEN","Bojia","Chen Bojia","Chen","22/08/2005","110","","10","7","5","177","71","2","MIDFIELDER_CENTRAL","","128055","96","-7","67248767"
"DETAILED_FUTURE_REGEN","Kunhao","Qiao Kunhao","Qiao","30/10/2005","110","","10","8","5","176","69","2","ATTACKING_MIDFIELDER_CENTRAL","","128042","96","-7","4212400"
"DETAILED_FUTURE_REGEN","Jun","Yan Jun","Yan","01/01/2006","110","","10","8","5","184","75","2","DEFENDER_CENTRAL","","103194","96","-7","4203009"
"DETAILED_FUTURE_REGEN","Mingda","Wang Mingda","Wang","01/01/2006","110","","10","7","5","181","74","2","ATTACKER_CENTRAL","","128048","96","-7","5745180"
"DETAILED_FUTURE_REGEN","Marcel","Wang Hanlong","Petrov","20/03/2006","795","","10","2","2","175","68","3","ATTACKING_MIDFIELDER_CENTRAL","","128046","97","-8","1639"
"DETAILED_FUTURE_REGEN","Chuwei","Ai Chuwei","Ai","01/01/2007","38","","10","18","5","190","82","3","ATTACKER_CENTRAL","","128055","97","-8","2000328121"
"DETAILED_FUTURE_REGEN","Lexuan","Wang Lexuan","Wang","01/05/2007","110","","10","6","5","178","69","3","ATTACKING_MIDFIELDER_CENTRAL","","131171","96","-7","67128847"
"DETAILED_FUTURE_REGEN","Lianfeng","Bai Lianfeng","Bai","01/01/2008","110","","10","8","5","176","68","3","ATTACKING_MIDFIELDER_LEFT_SIDE","","103194","96","-7","1675"
