"DETAILED_FUTURE_REGEN","First Name","Common Name","Last Name","Birth date","Nation","Favourite Team","Ethnicity","Skin Tone","Hair Colour","Height(in cm)","Weight(in kg)","Preferred Foot","Preferred Position","Favourite Number","Birth City","CA","PA","Club ID"
"DETAILED_FUTURE_REGEN","Zhenghang","Xu Zhenghang","Xu","30/04/2004","110","","10","8","5","174","71","2","MIDFIELDER_CENTRAL","","5620172","96","-7","83111757"
"DETAILED_FUTURE_REGEN","Ziqi","Wang Ziqi","Yang","01/01/2005","110","","10","5","5","179","71","3","ATTACKER_CENTRAL","","5636584","96","-7","5743879"
"DETAILED_FUTURE_REGEN","Xinhao","Luo Xinhao","Luo","02/01/2005","110","","10","8","5","172","68","2","ATTACKER_CENTRAL","","128042","96","-7","2096"
"DETAILED_FUTURE_REGEN","Yuanhao","Xiao Yuanhao","Xiao","15/01/2005","110","","10","8","5","175","69","3","ATTACKER_CENTRAL","","128055","96","-7","814840"
"DETAILED_FUTURE_REGEN","Wensheng","Fan Wensheng","Fan","22/01/2005","110","","10","8","5","175","69","2","ATTACKING_MIDFIELDER_RIGHT_SIDE","","5620172","96","-7","83111757"
"DETAILED_FUTURE_REGEN","Yingdong","Hao Yingdong","Hao","03/03/2005","110","","10","8","5","184","73","4","DEFENDER_CENTRAL","","128057","96","-7","814840"
"DETAILED_FUTURE_REGEN","Yiming","Cao Yiming","Cao","20/04/2005","110","","10","8","5","185","78","3","DEFENDER_CENTRAL","","5620172","96","-7","83111757"
"DETAILED_FUTURE_REGEN","Wenhao","Zhou Wenhao","Zhou","21/06/2005","110","","10","7","5","184","76","2","DEFENDER_CENTRAL","","5620172","96","-7","83111757"
"DETAILED_FUTURE_REGEN","Zhipu","Zhang Zhipu","Zhang","01/09/2005","110","","10","8","5","184","76","3","DEFENDER_CENTRAL","","5620172","96","-7","83111757"
"DETAILED_FUTURE_REGEN","Zhong","Luo Zhong","Luo","22/09/2005","110","","10","9","5","176","71","2","ATTACKER_CENTRAL","","128055","96","-7","4212228"
"DETAILED_FUTURE_REGEN","Xianfei","Kong Xianfei","Kong","01/01/2006","110","","10","6","5","184","78","2","DEFENDER_CENTRAL","","103194","96","-7","109023"
"DETAILED_FUTURE_REGEN","Yalun","Luo Yalun","Luo","01/03/2006","110","","10","8","5","181","72","3","ATTACKING_MIDFIELDER_LEFT_SIDE","","131228","96","-7","6706380"
"DETAILED_FUTURE_REGEN","Yu","Mei Yu","Mei","09/03/2006","110","","10","6","3","189","83","2","GOALKEEPER","","128042","96","-7","1675"
"DETAILED_FUTURE_REGEN","Yutong","Zhang Yutong","Zhang","24/05/2006","110","","10","7","5","179","72","2","ATTACKING_MIDFIELDER_CENTRAL","","128048","96","-7","1955"
"DETAILED_FUTURE_REGEN","Yangyi","Li Yangyi","Li","29/12/2006","110","","10","8","5","178","72","3","ATTACKER_CENTRAL","","103194","96","-7","4212294"
"DETAILED_FUTURE_REGEN","Xinhang","Liu Xinhang","Liu","01/01/2007","110","","10","8","5","179","74","2","ATTACKER_CENTRAL","","1023882","96","-7","67016673"
"DETAILED_FUTURE_REGEN","Xirui","Lin Xirui","Lin","27/11/2007","110","","10","7","5","176","72","2","MIDFIELDER_CENTRAL","","128050","96","-7","212395"
"DETAILED_FUTURE_REGEN","Zhi","Lin Zhi","Lin","04/12/2007","110","","10","8","3","178","72","2","ATTACKING_MIDFIELDER_LEFT_SIDE","","128046","96","-7","4212228"
"DETAILED_FUTURE_REGEN","Yitao","Jiang Yitao","Jiang","01/01/2008","110","","10","8","5","176","70","2","MIDFIELDER_CENTRAL","","103194","96","-7","930"
"DETAILED_FUTURE_REGEN","Yixiang","Jiang Yixiang","Jiang","01/01/2008","110","","10","8","5","185","78","3","MIDFIELDER_CENTRAL","","128057","96","-7","1955"
"DETAILED_FUTURE_REGEN","Weixuan","Wang Weixuan","Wang","19/01/2008","110","","10","8","5","174","69","3","ATTACKING_MIDFIELDER_RIGHT_SIDE","","5632380","96","-7","4212780"
"DETAILED_FUTURE_REGEN","Zenon","","Zamenhof","25/01/2008","787","","0","9","2","185","78","2","GOALKEEPER","","129541","99","-9","1300885"
"DETAILED_FUTURE_REGEN","Yi","Xiao Yi","Xiao","26/01/2008","110","","10","8","5","180","73","3","ATTACKER_CENTRAL","","128055","96","-7","814593"
"DETAILED_FUTURE_REGEN","Xiwen","Hu Xiwen","Hu","24/03/2008","110","","10","8","5","178","72","2","ATTACKER_CENTRAL","","128055","96","-7","4212780"
"DETAILED_FUTURE_REGEN","Weizhao","Ding Weizhao","Ding","29/05/2008","110","","10","8","3","182","72","4","MIDFIELDER_CENTRAL","","5620166","96","-7","109017"
"DETAILED_FUTURE_REGEN","Zihao","Wen Zihao","Wen","09/06/2008","110","","10","8","5","176","69","3","ATTACKING_MIDFIELDER_CENTRAL","","1023812","96","-7","1682"
"DETAILED_FUTURE_REGEN","William","","Seel","01/07/2008","771","","10","6","5","185","78","3","MIDFIELDER_CENTRAL","","128046","97","-8","961"
"DETAILED_FUTURE_REGEN","Wim","","Huygens","06/11/2008","784","","3","13","5","178","68","2","ATTACKER_CENTRAL","","856153","99","-9","1014"
"DETAILED_FUTURE_REGEN","Yibo","Mao Yibo","Mao","01/01/2009","110","","10","6","5","182","74","3","ATTACKER_CENTRAL","","103194","96","-7","810128"
"DETAILED_FUTURE_REGEN","Yongbin","Mao Yongbin","Mao","08/01/2009","110","","10","6","5","187","81","3","GOALKEEPER","","5627782","96","-7","23292170"
"DETAILED_FUTURE_REGEN","Ziquan","Wang Ziquan","Wang","16/01/2009","110","","10","6","5","178","69","3","MIDFIELDER_CENTRAL","","103194","97","-8","1456"
"DETAILED_FUTURE_REGEN","Xiuhao","Wang Xiuhao","Wang","17/01/2009","110","","10","6","5","172","64","3","ATTACKING_MIDFIELDER_CENTRAL","","5620166","96","-7","4212395"
"DETAILED_FUTURE_REGEN","Zisi","Wang Zisi","Wang","21/01/2009","110","","10","8","5","187","78","2","DEFENDER_CENTRAL","","128046","96","-7","67035574"
"DETAILED_FUTURE_REGEN","Xianghong","Zhong Xianghong","Zhong","22/01/2009","110","","10","7","5","171","67","2","ATTACKING_MIDFIELDER_RIGHT_SIDE","","128055","96","-7","4212780"
"DETAILED_FUTURE_REGEN","Zhaolei","Kuang Zhaolei","Kuang","03/03/2009","110","","10","6","5","176","72","3","ATTACKER_CENTRAL","","128055","96","-7","4203009"
"DETAILED_FUTURE_REGEN","Zixuan","Wei Zixuan","Wei","14/03/2009","110","","10","6","5","184","78","3","DEFENDER_CENTRAL","","128050","96","-7","412"
"DETAILED_FUTURE_REGEN","Youzhe","Dai Youzhe","Dai","01/07/2009","110","","10","6","5","174","68","3","DEFENDER_RIGHT_SIDE","","5620166","96","-7","4212118"
"DETAILED_FUTURE_REGEN","Yanxu","Ding Yanxu","Ding","17/07/2009","110","","10","8","5","183","74","3","DEFENDER_CENTRAL","","5620166","96","-7","109017"
"DETAILED_FUTURE_REGEN","Yirui","Cai Yirui","Cai","17/07/2009","110","","10","8","3","180","72","3","ATTACKER_CENTRAL","","128055","96","-7","4212118"
