"DETAILED_FUTURE_REGEN","First Name","Common Name","Last Name","Birth date","Nation","Favourite Team","Ethnicity","Skin Tone","Hair Colour","Height(in cm)","Weight(in kg)","Preferred Foot","Preferred Position","Favourite Number","Birth City","CA","PA","Club ID"
"DETAILED_FUTURE_REGEN","Noni","","Madueke","10/03/2032","765","","3","16","5","176","69","3","ATTACKING_MIDFIELDER_RIGHT_SIDE","","100023","102","165","728"
"DETAILED_FUTURE_REGEN","Norberto","Neto","Murara Neto","19/07/2019","1651","","0","5","2","190","84","2","GOALKEEPER","","318817","102","164","107206"
"DETAILED_FUTURE_REGEN","Norberto","","Méndez","05/01/2013","1649","","1","6","5","176","72","3","ATTACKING_MIDFIELDER_CENTRAL","","102431","103","174","88"
"DETAILED_FUTURE_REGEN","Norberto","","Alonso","04/01/2013","1649","","1","8","3","176","72","3","ATTACKING_MIDFIELDER_CENTRAL","","108507","103","178","94"
"DETAILED_FUTURE_REGEN","Nordin","","Amrabat","31/03/2017","34","","2","12","5","179","77","2","ATTACKING_MIDFIELDER_RIGHT_SIDE","","856586","102","164","992"
"DETAILED_FUTURE_REGEN","Norman","","Whiteside","07/05/2015","785","","0","1","3","188","81","3","ATTACKING_MIDFIELDER_CENTRAL","","1300831","103","170","680"
"DETAILED_FUTURE_REGEN","Nuno","","Gomes","05/07/2016","788","","1","9","3","181","72","2","ATTACKER_CENTRAL","","4100024","103","175","1471"
"DETAILED_FUTURE_REGEN","Nuno","","Valente","12/09/2014","788","","1","6","3","182","78","3","DEFENDER_LEFT_SIDE","","Lisbon","102","167","1489"
"DETAILED_FUTURE_REGEN","Nuno","","Mendes","19/06/2032","788","","3","15","5","176","70","3","DEFENDER_LEFT_SIDE","","927","104","183","1489"
"DETAILED_FUTURE_REGEN","Nuno Ricardo","Maniche","Oliveira Ribeiro","10/11/2017","788","","1","5","3","173","69","2","MIDFIELDER_CENTRAL","","819","103","173","1487"
"DETAILED_FUTURE_REGEN","Nuri","","Şahin","05/09/2018","799","","2","7","3","180","73","3","MIDFIELDER_CENTRAL","","Lüdenscheid","103","172","907"
"DETAILED_FUTURE_REGEN","Nwankwo","","Kanu","14/08/2013","38","","3","18","5","197","80","4","ATTACKER_CENTRAL","","5410033","103","172","5340754"
"DETAILED_FUTURE_REGEN","Obafemi","","Martins","28/10/2014","38","","3","18","5","171","70","3","ATTACKER_CENTRAL","","103059","103","170","1135"
"DETAILED_FUTURE_REGEN","Obdulio","","Varela","20/09/2017","1657","","1","6","3","183","78","3","MIDFIELDER_CENTRAL","","Paysandu","104","181","1926"
"DETAILED_FUTURE_REGEN","Oier","","Olazabal","11/10/2019","796","","1","6","3","189","90","3","GOALKEEPER","","Irún","102","164","1708"
"DETAILED_FUTURE_REGEN","Oihan","","Sancet","25/04/2030","796","","1","5","3","188","73","2","MIDFIELDER_CENTRAL","","362","102","163","1664"
"DETAILED_FUTURE_REGEN","Okan","","Yılmaz","16/05/2018","799","","2","7","3","178","74","2","ATTACKER_CENTRAL","","Bursa","102","167","1867"
"DETAILED_FUTURE_REGEN","Okan","","Buruk","19/10/2014","799","","1","7","5","169","69","2","MIDFIELDER_CENTRAL","","1301222","102","168","1871"
"DETAILED_FUTURE_REGEN","Olaf","","Marschall","19/03/2016","771","","0","3","3","186","80","2","ATTACKER_CENTRAL","","92031011","102","169","3600077"
"DETAILED_FUTURE_REGEN","Olaf","","Thon","01/05/2016","771","","0","7","3","170","68","2","MIDFIELDER_CENTRAL","","611","103","170","920"
"DETAILED_FUTURE_REGEN","Oldřich","","Nejedlý","26/12/2019","763","","0","2","1","174","69","3","ATTACKER_CENTRAL","","Žebrák","103","176","476"
"DETAILED_FUTURE_REGEN","Ole Gunnar","","Solskjær","26/02/2013","786","","0","1","2","176","74","2","ATTACKER_CENTRAL","","1300418","103","172","1353"
"DETAILED_FUTURE_REGEN","Oleg","","Blokhin","05/11/2012","800","","1","5","1","180","75","4","ATTACKER_CENTRAL","","1301263","103","178","1885"
"DETAILED_FUTURE_REGEN","Oleg","","Luzhnyi","05/08/2018","800","","0","5","3","182","77","2","DEFENDER_RIGHT_SIDE","","1301260","102","167","1901"
"DETAILED_FUTURE_REGEN","Oleg","","Salenko","25/10/2019","791","","0","2","3","181","72","2","ATTACKER_CENTRAL","","1301076","102","167","1301108"
"DETAILED_FUTURE_REGEN","Oleksandr","","Aliev","03/02/2015","800","","0","1","2","173","67","2","ATTACKING_MIDFIELDER_LEFT_SIDE","","Khabarovsk","102","161","1895"
"DETAILED_FUTURE_REGEN","Oleksandr","","Zinchenko","15/12/2026","800","","0","5","1","175","61","3","DEFENDER_LEFT_SIDE","","71051302","102","164","1895"
"DETAILED_FUTURE_REGEN","Oleksandr","","Usyk","17/01/2017","800","","0","2","3","191","87","2","DEFENDER_CENTRAL","","1301273","103","177","1885"
"DETAILED_FUTURE_REGEN","Oleksandr","","Zavarov","26/04/2011","800","","0","3","3","170","67","3","MIDFIELDER_CENTRAL","","1301275","103","178","1902"
"DETAILED_FUTURE_REGEN","Oleksandr","","Holovko","01/06/2012","800","","0","5","3","186","76","2","DEFENDER_CENTRAL","","5311247","102","165","1896"
"DETAILED_FUTURE_REGEN","Olexiy","","Belik","14/02/2011","800","","0","4","3","184","79","4","ATTACKER_CENTRAL","","Donetsk","102","162","1895"
"DETAILED_FUTURE_REGEN","Oliver","","Kahn","15/06/2019","771","","0","3","1","188","90","2","GOALKEEPER","","616","105","194","931"
"DETAILED_FUTURE_REGEN","Oliver","","Skipp","16/09/2030","765","","0","3","1","181","70","2","MIDFIELDER_CENTRAL","","123522","102","163","728"
"DETAILED_FUTURE_REGEN","Oliver","","Bierhoff","01/05/2018","771","","0","5","1","191","83","2","ATTACKER_CENTRAL","","616","103","175","947"
"DETAILED_FUTURE_REGEN","Oliver","","Neuville","01/05/2013","771","","0","7","5","171","66","2","ATTACKER_CENTRAL","","5720007","103","170","1858"
"DETAILED_FUTURE_REGEN","Óliver","Óliver","Torres","10/11/2024","796","","1","7","3","178","70","2","MIDFIELDER_CENTRAL","","4203157","102","165","1687"
"DETAILED_FUTURE_REGEN","Olivier","","Kapo","26/09/2010","769","","3","18","5","184","78","3","ATTACKING_MIDFIELDER_LEFT_SIDE","","Abidjan","102","167","824"
"DETAILED_FUTURE_REGEN","Olivier","","Giroud","30/09/2016","769","","1","3","3","192","93","3","ATTACKER_CENTRAL","","8428107","102","169","852"
"DETAILED_FUTURE_REGEN","Olivier","","Dacourt","25/09/2014","769","","9","13","3","178","73","2","MIDFIELDER_CENTRAL","","8426356","103","172","872"
"DETAILED_FUTURE_REGEN","Ollie","","Watkins","30/12/2025","765","","3","15","5","180","70","2","ATTACKER_CENTRAL","","100092","102","165","651"
"DETAILED_FUTURE_REGEN","Olof","","Mellberg","02/09/2017","797","","0","5","2","186","83","2","DEFENDER_CENTRAL","","8115002","102","168","1728"
"DETAILED_FUTURE_REGEN","Omar","","Palma","12/04/2018","1649","","1","5","2","183","70","4","MIDFIELDER_CENTRAL","","102431","102","166","95"
"DETAILED_FUTURE_REGEN","Omar","","Labruna","03/04/2017","1649","","1","11","5","168","57","4","MIDFIELDER_CENTRAL","","14018167","102","167","94"
"DETAILED_FUTURE_REGEN","Omar Abdulrahman","Omar Abdulrahman","Al-Amoudi","21/09/2021","143","","2","9","3","173","60","3","ATTACKING_MIDFIELDER_RIGHT_SIDE","","Riyadh","101","159","102852"
"DETAILED_FUTURE_REGEN","Omar Enrique","","Sívori","02/10/2015","776","","1","10","5","170","69","3","ATTACKER_CENTRAL","","955889","104","189","94"
"DETAILED_FUTURE_REGEN","Omari","","Kellyman","15/09/2035","765","","3","14","3","188","71","3","ATTACKING_MIDFIELDER_CENTRAL","","100045","102","165","645"
"DETAILED_FUTURE_REGEN","Oriol","","Busquets","21/01/2019","796","","1","7","5","189","76","2","MIDFIELDER_CENTRAL","","357","102","162","1708"
